Nome,Simbolo
3 R Petroleum,RRRP3
3tentos,TTEN3
Aco Altona,EALT3
Aco Altona,EALT4
Advanced Dh,ADHM3
Aeris,AERI3
Aes Brasil,AESB3
Aes Tiete E,TIET11
Aes Tiete E,TIET3
Aes Tiete E,TIET4
Afluente T,AFLT3
Agribrasil,GRAO3
Agrogalaxy,AGXY3
Alfa Consorc,BRGE11
Alfa Consorc,BRGE12
Alfa Consorc,BRGE3
Alfa Consorc,BRGE5
Alfa Consorc,BRGE6
Alfa Consorc,BRGE8
Alfa Financ,CRIV3
Alfa Financ,CRIV4
Alfa Holding,RPAD3
Alfa Holding,RPAD5
Alfa Holding,RPAD6
Alfa Invest,BRIV3
Alfa Invest,BRIV4
Alianscsonae,ALSO3
Alliar,AALR3
Allied,ALLD3
Alpargatas,ALPA3
Alpargatas,ALPA4
Alper S.A.,APER3
Alphabet DRN A,GOGL34
Alphaville,AVLL3
Alupar,ALUP11
Alupar,ALUP3
Alupar,ALUP4
Amazonia,BAZA3
Ambev S.A.,ABEV3
Ambipar,AMBP3
Americanas,AMER3
Ampla Energ,CBEE3
Anima,ANIM3
Arezzo Indústria e Comércio S.A.,ARZZ3
Armac,ARML3
Assai,ASAI3
AtmaSA,ATMP3
Atompar,ATOM3
Aura 360,AURA33
Auren,AURE3
Azevedo,AZEV3
Azevedo,AZEV4
Azul S.A.,AZUL4
"B3 S.A. - Brasil, Bolsa, Balcão",B3SA3
Bahema,BAHI3
Banco Bmg,BMGB4
Banco Bradesco S.A.,BBDC3
Banco Bradesco S.A.,BBDC4
Banco do Brasil S.A.,BBAS3
Banco do Estado do Rio Grande do Sul S.A.,BRSR6
Banco Modal,MODL11
Banco Modal,MODL3
Banco Modal,MODL4
Banco Pan,BPAN4
Banco Santander (Brasil) S.A.,SANB3
Banco Santander (Brasil) S.A.,SANB11
Banese,BGIP3
Banese,BGIP4
Banestes,BEES3
Banestes,BEES4
Banrisul,BRSR3
Banrisul,BRSR5
Bardella,BDLL3
Bardella,BDLL4
Baumer,BALM3
Baumer,BALM4
BB Seguridade Participações S.A.,BBSE3
Bemobi Tech,BMOB3
Bic Monark,BMKS3
Biomm,BIOM3
Bk Brasil,BKBR3
Blau,BLAU3
Boa Safra,SOJA3
Boa Vista,BOAS3
Bombril,BOBR3
Bombril,BOBR4
BR Malls Participações S.A.,BRML3
BR Partners,BRBI11
Br Propert,BRPR3
Bradespar S.A.,BRAP4
Bradespar S.A.,BRAP3
Brasilagro,AGRO3
Braskem,BRKM6
Braskem S.A.,BRKM5
Braskem S.A.,BRKM3
Brb Banco,BSLI3
Brb Banco,BSLI4
BRF S.A.,BRFS3
BriSAnet,BRIT3
Btgp Banco,BPAC11
Btgp Banco,BPAC3
Btgp Banco,BPAC5
Caixa Seguri,CXSE3
Cambuci,CAMB3
Camil Alimentos S.A.,CAML3
Carrefour Br,CRFB3
Cartesia FII,CACR11
CaSAn,CASN
CaSAn,CASN3
CBA,CBAV3
CCR S.A.,CCRO3
Cea Modas,CEAB3
Ceb,CEBR3
Ceb,CEBR5
Ceb,CEBR6
Cedro,CEDO3
Cedro,CEDO4
Ceee D,CEED3
Ceee D,CEED4
Ceee Gt,EEEL3
Ceee Gt,EEEL4
Ceg,CEGR3
Celesc,CLSC3
Celesc,CLSC4
Celgpar,GPAR3
Celpe,CEPE3
Celpe,CEPE5
Celpe,CEPE6
Cemepe,MAPT3
Cemepe,MAPT4
Centrais Elétricas Brasileiras S.A. - Eletrobras,ELET3
Centrais Elétricas Brasileiras S.A. - Eletrobras,ELET6
Cesp,CESP3
Cesp,CESP5
Cesp,CESP6
Cia. Hering,HGTX3
Cielo S.A.,CIEL3
ClearSAle,CLSA3
Coelba,CEEB3
Coelba,CEEB5
Coelce,COCE3
Coelce,COCE5
Cogna Educação S.A.,COGN3
Comgas,CGAS3
Comgas,CGAS5
Companhia de Locação das Américas,LCAM3
Companhia de Saneamento Básico do Estado de São Paulo - SABESP,SBSP3
Companhia Energética de Minas Gerais,CMIG3
Companhia Energética de Minas Gerais,CMIG4
Companhia Paranaense de Energia - COPEL,CPLE6
Companhia Paranaense de Energia - COPEL,CPLE3
Companhia Siderúrgica Nacional,CSNA3
Const A Lind,CALI3
CopaSA,CSMG3
Copel,CPLE5
Cor Ribeiro,CORR4
CoSAn Log,RLOG3
Cosan S.A.,CSAN3
Cosern,CSRN3
Cosern,CSRN5
Cosern,CSRN6
Coteminas,CTNM3
Coteminas,CTNM4
CPFL Energia S.A.,CPFE3
Cr2,CRDE3
Cristal,CRPG3
Cristal,CRPG5
Cristal,CRPG6
Cruzeiro Edu,CSED3
Csnmineracao,CMIN3
Csu Cardsyst,CARD3
Cury S/A,CURY3
CVC Brasil Operadora e Agência de Viagens S.A.,CVCB3
Cyrela Brazil Realty S.A. Empreendimentos e Participações,CYRE3
D1000 Vfarma,DMVF3
DaSA,DASA3
Desktop,DESK3
Dimed,PNVL3
Dimed,PNVL4
Direcional,DIRR3
Dohler,DOHL3
Dohler,DOHL4
Dommo,DMMO3
Dotz S.A.,DOTZ3
Dtcom Direct,DTCY3
Duratex,DTEX3
EcoRodovias Infraestrutura e Logística S.A.,ECOR3
EDP - Energias do Brasil S.A.,ENBR3
Elektro,EKTR3
Elektro,EKTR4
Eletrobras,ELET5
Eletromidia,ELMD3
Eletropar,LIPR3
Emae,EMAE3
Emae,EMAE4
Embpar,EPAR3
Embraer S.A.,EMBR3
Enauta Part,ENAT3
Encorpar,ECPR3
Encorpar,ECPR4
EnergiSA,ENGI
EnergiSA,ENGI11
EnergiSA,ENGI3
EnergiSA,ENGI4
EnergiSA Mt,ENMT3
EnergiSA Mt,ENMT4
Eneva,ENEV3
Engie Brasil Energia S.A.,EGIE3
Enjoei,ENJU3
Eqtl Para,EQPA3
Eqtl Para,EQPA5
Eqtl Para,EQPA6
Eqtl Para,EQPA7
Equatorial Energia S.A.,EQTL3
Espacolaser,ESPA3
Estácio Participações S.A.,YDUQ3
Estapar,ALPK3
Estrela,ESTR3
Estrela,ESTR4
Eternit,ETER3
Eucatex,EUCA3
Eucatex,EUCA4
Even,EVEN3
Excelsior,BAUH4
Eztec,EZTC3
Fer Heringer,FHER3
FerbaSA,FESA3
FerbaSA,FESA4
FII A Branca,FPAB11
FII Abc Imobiliario,ABCP11
FII Absoluto,BPFF11
FII Afhi Cri,AFHI11
FII Alianza,ALZR11
FII Alianzme,ALZM11
FII Anh Educ,FAED11
FII Arctium,ARCT11
FII ASA Met,ASMT11
FII Athena I,FATN11
FII Atrio,ARRI11
FII Autonomy,AIEC11
FII B Varejo,BVAR11
FII Banrisul,BNFS11
FII Barigui,BARI11
FII BB Corp,BBRC11
FII BB Fof,BBFO11
FII BB Papii,RDPD11
FII BB Prgii,BBPO11
FII BB R Pap,RNDP11
FII Bc Ffii,BCFF11
FII Bc Fund,BRCR11
FII Blue Aaa,BLCA11
FII Blue Cri,BLMC11
FII Blue Fof,BLMR11
FII Blue Log,BLMG11
FII Blue Rec,BLUR11
FII Bluecap,BLCP11
FII Bluemac,BLMO11
FII Bmbrc Lc,BMLC11
FII Bre Vic,BREV11
FII Brei,IBCR11
FII Bresco,BRCO11
FII Brio Cre,BICE11
FII Brio II,BRIM11
FII Brio III,BRIP11
FII Brio Me,BIME11
FII Brlproii,BRLA11
FII Brlprop,BPRP11
FII Brrealty,BZLI11
FII BTG Agro,BTAL11
FII BTG Cri,BTCR11
FII BTG Shop,BPML11
FII BTG Tagr,BTRA11
FII Btlg,BTLG11
FII Btowers,BTWR11
FII Btsp I,BTSG11
FII C Branco,CBOP11
FII C Textil,CTXT11
FII Caixa Ag,CXAG11
FII Caixa Ci,CXCI11
FII Campusfl,FCFL11
FII Canvas,CCRF11
FII Cap Reit,CPFF11
FII Capi Sec,CPTS11
FII Cef Corp,CXCO11
FII Cenesp,CNES11
FII Ceo Ccp,CEOC11
FII Cjctower,CJCT11
FII Crianca,HCRI11
FII CSHG Cri,HGCR11
FII CSHG Fof,HGFF11
FII CSHG Log,HGLG11
FII CSHG Rsd,HGRS11
FII CSHG Urb,HGRU11
FII Cshgprim,HGPO11
FII Cx Rbra2,CRFF11
FII Cx Rbrav,CXRI11
FII Cx Trx,CXTL11
FII Cyrela,CYCR11
FII D Pedro,PQDP11
FII Dea Care,CARE11
FII Dev One,LKDV11
FII Deva Fof,DVFF11
FII Deva Pro,DPRO11
FII Devant,DEVA11
FII Energy,EGYR11
FII Eqi Rece,EQIR11
FII Estoq Rj,ERCR11
FII Europa,ERPA11
FII Europar,EURO11
FII Ev Kinea,KINP11
FII Even II,KEVE11
FII Excellen,FEXC11
FII Exes,EXES11
FII Fator Ve,VRTA11
FII Fl Receb,FLCR11
FII Floripa,FLRP11
FII Fof Brei,IBFF11
FII G Towers,GTWR11
FII Galapago,GCFF11
FII Galeria,EDGA11
FII Gen Shop,FIGS11
FII General,GSFI11
FII Ggrcovep,GGRC11
FII Glpg Cri,GCRI11
FII Gp Rcfa,RCFA11
FII Gtis Lg,GTLG11
FII Guard Mu,GAME11
FII Guardian,GALG11
FII H Unimed,HUSC11
FII Habit II,HABT11
FII Hatrium,ATSA11
FII Hbc Ren,HBCR11
FII Hect Cri,HCHG11
FII Hect Des,HCST11
FII Hectare,HCTR11
FII Hedge Of,HDOF11
FII Hedge Sd,SEED11
FII Hedgeaaa,HAAA11
FII Hedgebs,HGBS11
FII Hedgelog,HLOG11
FII Hedgepdp,HPDP11
FII Hedgerec,HREC11
FII Hg Real,HGRE11
FII Hgi Cri,HGIC11
FII Higienop,SHPH11
FII Hotel Mx,HTMX11
FII Housi,HOSI11
FII Hrealty,HRDF11
FII Hsi Cri,HSAF11
FII Hsi Log,HSLG11
FII Hsi Mall,HSML11
FII Hsirenda,HSRE11
FII Htopfof3,HFOF11
FII Husi,HUSI11
FII Indl Br,FIIB11
FII Inter,BICR11
FII Inter Ip,ITIP11
FII Inter It,ITIT11
FII Iridium,IRDM11
FII Irim,IRIM11
FII Jasc Ren,JASC11
FII Jbfo Fof,JBFO11
FII Jfl Liv,JFLL11
FII Jpp Capi,JPPC11
FII Jppmogno,JPPA11
FII Js A Fin,JSAF11
FII Js Real,JSRE11
FII Kii Real,KNRE11
FII Kilima,KISU11
FII Kinea,KNRI11
FII Kinea Cr,KCRE11
FII Kinea Hy,KNHY11
FII Kinea Ip,KNIP11
FII Kinea Ri,KNCR11
FII Kinea Sc,KNSC11
FII Kineafof,KFOF11
FII Kivo,KIVO11
FII Legatus,LASC11
FII Leste Pa,LSPA11
FII Lgcp Int,LGCP11
FII Loft II,LFTT11
FII Lourdes,NSLU11
FII Luggo,LUGG11
FII Malls Bp,MALL11
FII Manati,MANA11
FII Maua,MCCI11
FII Maua Hf,MCHF11
FII Maua Hy,MCHY11
FII Max Ret,MAXR11
FII Maxi Ren,MXRF11
FII Memorial,FMOF11
FII Merc Br,MBRF11
FII Merito I,MFII11
FII Merito R,MFCR11
FII Meritofa,MFAI11
FII Mint Edu,MINT11
FII Mmve Op,MMVE11
FII Mogno,MGFF11
FII Mogno Hg,MGCR11
FII Mogno Ht,MGHT11
FII Mogno Lg,MGLG11
FII More Atv,MATV11
FII More Cri,MORC11
FII More Re,MORE11
FII Mult Ren,HBRH11
FII Navi Rsd,APTO11
FII Navi Tot,NAVT11
FII Nch Eqi,NCHB11
FII Newport,NEWL11
FII Newru,NEWU11
FII Novohori,NVHO11
FII Olimpia,VLOL11
FII Ou Renda,OURE11
FII Ouri Fof,OUFF11
FII Ouri Jpp,OUJP11
FII Ourilog,OULG11
FII P Negra,FPNG11
FII P Vargas,PRSV11
FII Pan Prop,PNPR11
FII Panamby,PABY11
FII Parq Anh,PQAG11
FII Patr Log,PATL11
FII Patria,PATC11
FII Performa,PEMA11
FII Plur Urb,GURB11
FII Plural L,PLOG11
FII Plural R,PLCR11
FII Polo Cri,PORD11
FII Polo I,PLRI11
FII QuaSAr A,QAGR11
FII QuaSAr C,QAMI11
FII Quata,QIRI11
FII R Income,RBCO11
FII Rb Cfof,RFOF11
FII Rb II,RBRD11
FII Rb Tfo,RBTS11
FII Rb Yield,RBHY11
FII Rbcap Lg,RBLG11
FII Rbcap Ri,RRCI11
FII Rbcri IV,RBHG11
FII Rbr Des,RBRM11
